Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000000020000 CH2:0.0000000020000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00002048000,0.00,0.04000
Vertical Scale,CH1:1.00 CH2:1.00,,-0.00002047800,0.00,0.00
Vertical Offset,CH1:-2.00000 CH2:-2.00000,,-0.00002047600,-0.04000,0.00
Horizontal Units,s,,-0.00002047400,0.08000,0.12000
Horizontal Scale,0.0000000050,,-0.00002047200,0.04000,0.08000
Model Number,SDS1152CML,,-0.00002047000,0.04000,0.00
Serial Number,SDS00002131559,,-0.00002046800,0.00,0.00
Software Version,5.01.02.13,,-0.00002046600,-0.04000,0.00
,,,-0.00002046400,0.04000,0.12000
,,,-0.00002046200,0.04000,0.08000
,,,-0.00002046000,0.00,0.04000
,,,-0.00002045800,0.00,0.00
,,,-0.00002045600,-0.04000,0.00
,,,-0.00002045400,0.04000,0.12000
,,,-0.00002045200,0.04000,0.08000
,,,-0.00002045000,0.00,0.04000
,,,-0.00002044800,0.04000,0.00
,,,-0.00002044600,-0.04000,0.04000
,,,-0.00002044400,0.04000,0.12000
,,,-0.00002044200,0.04000,0.08000
,,,-0.00002044000,0.00,0.00
,,,-0.00002043800,0.04000,0.00
,,,-0.00002043600,-0.04000,0.00
,,,-0.00002043400,0.04000,0.08000
,,,-0.00002043200,0.04000,0.08000
,,,-0.00002043000,0.00,0.00
,,,-0.00002042800,0.04000,0.00
,,,-0.00002042600,-0.04000,0.00
,,,-0.00002042400,0.04000,0.12000
,,,-0.00002042200,0.04000,0.08000
,,,-0.00002042000,0.04000,0.04000
,,,-0.00002041800,0.00,0.00
,,,-0.00002041600,-0.04000,0.00
,,,-0.00002041400,0.04000,0.08000
,,,-0.00002041200,0.04000,0.08000
,,,-0.00002041000,0.00,0.00
,,,-0.00002040800,0.04000,0.00
,,,-0.00002040600,-0.04000,0.00
,,,-0.00002040400,0.00,0.12000
,,,-0.00002040200,0.04000,0.08000
,,,-0.00002040000,0.00,0.04000
,,,-0.00002039800,0.04000,0.00
,,,-0.00002039600,-0.04000,0.04000
,,,-0.00002039400,0.04000,0.12000
,,,-0.00002039200,0.04000,0.08000
,,,-0.00002039000,0.04000,0.04000
,,,-0.00002038800,0.04000,0.04000
,,,-0.00002038600,0.00,0.00
,,,-0.00002038400,0.04000,0.08000
,,,-0.00002038200,0.04000,0.08000
,,,-0.00002038000,0.00,0.00
,,,-0.00002037800,0.04000,0.00
,,,-0.00002037600,-0.04000,0.00
,,,-0.00002037400,0.00,0.12000
,,,-0.00002037200,0.04000,0.08000
,,,-0.00002037000,0.00,0.00
,,,-0.00002036800,0.04000,0.00
,,,-0.00002036600,-0.04000,0.00
,,,-0.00002036400,0.00,0.12000
,,,-0.00002036200,0.04000,0.08000
,,,-0.00002036000,0.00,0.00
,,,-0.00002035800,0.00,0.00
,,,-0.00002035600,-0.04000,0.00
,,,-0.00002035400,0.04000,0.12000
,,,-0.00002035200,0.04000,0.08000
,,,-0.00002035000,0.00,0.04000
,,,-0.00002034800,0.04000,0.00
,,,-0.00002034600,0.00,0.00
,,,-0.00002034400,0.04000,0.12000
,,,-0.00002034200,0.04000,0.08000
,,,-0.00002034000,0.04000,0.00
,,,-0.00002033800,0.04000,0.00
,,,-0.00002033600,-0.04000,0.00
,,,-0.00002033400,0.00,0.12000
,,,-0.00002033200,0.04000,0.08000
,,,-0.00002033000,0.00,0.04000
,,,-0.00002032800,0.04000,0.00
,,,-0.00002032600,-0.04000,0.00
,,,-0.00002032400,0.00,0.12000
,,,-0.00002032200,0.04000,0.08000
,,,-0.00002032000,0.00,0.04000
,,,-0.00002031800,0.04000,0.00
,,,-0.00002031600,-0.04000,0.04000
,,,-0.00002031400,0.08000,0.12000
,,,-0.00002031200,0.04000,0.08000
,,,-0.00002031000,0.00,0.00
,,,-0.00002030800,0.04000,0.00
,,,-0.00002030600,-0.04000,0.00
,,,-0.00002030400,0.04000,0.12000
,,,-0.00002030200,0.04000,0.08000
,,,-0.00002030000,0.00,0.00
,,,-0.00002029800,0.04000,0.00
,,,-0.00002029600,-0.04000,0.00
,,,-0.00002029400,0.08000,0.12000
,,,-0.00002029200,0.04000,0.08000
,,,-0.00002029000,0.00,0.04000
,,,-0.00002028800,0.00,0.00
,,,-0.00002028600,-0.04000,0.00
,,,-0.00002028400,0.08000,0.12000
,,,-0.00002028200,0.04000,0.08000
,,,-0.00002028000,0.00,0.04000
,,,-0.00002027800,0.04000,0.04000
,,,-0.00002027600,-0.04000,0.00
,,,-0.00002027400,0.04000,0.12000
,,,-0.00002027200,0.04000,0.08000
,,,-0.00002027000,0.00,0.04000
,,,-0.00002026800,0.00,0.04000
,,,-0.00002026600,0.00,0.04000
,,,-0.00002026400,0.04000,0.12000
,,,-0.00002026200,0.04000,0.08000
,,,-0.00002026000,0.00,0.00
,,,-0.00002025800,0.00,0.00
,,,-0.00002025600,-0.04000,0.00
,,,-0.00002025400,0.04000,0.12000
,,,-0.00002025200,0.04000,0.08000
,,,-0.00002025000,0.00,0.04000
,,,-0.00002024800,0.00,0.00
,,,-0.00002024600,-0.04000,0.00
,,,-0.00002024400,0.04000,0.12000
,,,-0.00002024200,0.04000,0.08000
,,,-0.00002024000,0.04000,0.00
,,,-0.00002023800,0.04000,0.00
,,,-0.00002023600,-0.04000,0.00
,,,-0.00002023400,0.04000,0.12000
,,,-0.00002023200,0.04000,0.08000
,,,-0.00002023000,0.00,0.00
,,,-0.00002022800,0.04000,0.00
,,,-0.00002022600,-0.04000,0.00
,,,-0.00002022400,0.04000,0.12000
,,,-0.00002022200,0.04000,0.08000
,,,-0.00002022000,0.00,0.04000
,,,-0.00002021800,0.04000,0.00
,,,-0.00002021600,-0.04000,0.00
,,,-0.00002021400,0.04000,0.12000
,,,-0.00002021200,0.04000,0.08000
,,,-0.00002021000,0.00,0.00
,,,-0.00002020800,0.04000,0.00
,,,-0.00002020600,0.00,0.00
,,,-0.00002020400,0.04000,0.12000
,,,-0.00002020200,0.04000,0.08000
,,,-0.00002020000,0.04000,0.04000
,,,-0.00002019800,0.04000,0.00
,,,-0.00002019600,0.00,0.00
,,,-0.00002019400,0.08000,0.12000
,,,-0.00002019200,0.04000,0.08000
