Freq.	V(n009)
1.00000000000000e+000	(-4.36830833162615e-002dB,-1.28939326392139e-002°)
1.00230523807790e+000	(-4.36830833455126e-002dB,-1.29236562237103e-002°)
1.00461579027840e+000	(-4.36830833748984e-002dB,-1.29534483281452e-002°)
1.00693166885180e+000	(-4.36830834044500e-002dB,-1.29833091104737e-002°)
1.00925288607668e+000	(-4.36830834341207e-002dB,-1.30132387290148e-002°)
1.01157945425990e+000	(-4.36830834639272e-002dB,-1.30432373424523e-002°)
1.01391138573668e+000	(-4.36830834938344e-002dB,-1.30733051098356e-002°)
1.01624869287070e+000	(-4.36830835239336e-002dB,-1.31034421905812e-002°)
1.01859138805412e+000	(-4.36830835541500e-002dB,-1.31336487444732e-002°)
1.02093948370768e+000	(-4.36830835844982e-002dB,-1.31639249316633e-002°)
1.02329299228075e+000	(-4.36830836150015e-002dB,-1.31942709126729e-002°)
1.02565192625141e+000	(-4.36830836456812e-002dB,-1.32246868483935e-002°)
1.02801629812647e+000	(-4.36830836764675e-002dB,-1.32551729000873e-002°)
1.03038612044162e+000	(-4.36830837073624e-002dB,-1.32857292293884e-002°)
1.03276140576140e+000	(-4.36830837384210e-002dB,-1.33163559983032e-002°)
1.03514216667934e+000	(-4.36830837696474e-002dB,-1.33470533692121e-002°)
1.03752841581801e+000	(-4.36830838010258e-002dB,-1.33778215048692e-002°)
1.03992016582906e+000	(-4.36830838325274e-002dB,-1.34086605684042e-002°)
1.04231742939330e+000	(-4.36830838641472e-002dB,-1.34395707233230e-002°)
1.04472021922080e+000	(-4.36830838959405e-002dB,-1.34705521335076e-002°)
1.04712854805090e+000	(-4.36830839278637e-002dB,-1.35016049632188e-002°)
1.04954242865232e+000	(-4.36830839599671e-002dB,-1.35327293770955e-002°)
1.05196187382322e+000	(-4.36830839922120e-002dB,-1.35639255401562e-002°)
1.05438689639126e+000	(-4.36830840245946e-002dB,-1.35951936178000e-002°)
1.05681750921366e+000	(-4.36830840571235e-002dB,-1.36265337758071e-002°)
1.05925372517729e+000	(-4.36830840897978e-002dB,-1.36579461803397e-002°)
1.06169555719872e+000	(-4.36830841226349e-002dB,-1.36894309979434e-002°)
1.06414301822431e+000	(-4.36830841556096e-002dB,-1.37209883955475e-002°)
1.06659612123026e+000	(-4.36830841887627e-002dB,-1.37526185404661e-002°)
1.06905487922266e+000	(-4.36830842220883e-002dB,-1.37843216003995e-002°)
1.07151930523761e+000	(-4.36830842554749e-002dB,-1.38160977434338e-002°)
1.07398941234124e+000	(-4.36830842890835e-002dB,-1.38479471380427e-002°)
1.07646521362983e+000	(-4.36830843228452e-002dB,-1.38798699530893e-002°)
1.07894672222983e+000	(-4.36830843567591e-002dB,-1.39118663578243e-002°)
1.08143395129794e+000	(-4.36830843908338e-002dB,-1.39439365218901e-002°)
1.08392691402120e+000	(-4.36830844250433e-002dB,-1.39760806153192e-002°)
1.08642562361706e+000	(-4.36830844594563e-002dB,-1.40082988085364e-002°)
1.08893009333343e+000	(-4.36830844939847e-002dB,-1.40405912723596e-002°)
1.09144033644876e+000	(-4.36830845286739e-002dB,-1.40729581780000e-002°)
1.09395636627209e+000	(-4.36830845635395e-002dB,-1.41053996970637e-002°)
1.09647819614318e+000	(-4.36830845985156e-002dB,-1.41379160015526e-002°)
1.09900583943252e+000	(-4.36830846337156e-002dB,-1.41705072638646e-002°)
1.10153930954141e+000	(-4.36830846690610e-002dB,-1.42031736567957e-002°)
1.10407861990207e+000	(-4.36830847045692e-002dB,-1.42359153535395e-002°)
1.10662378397766e+000	(-4.36830847402412e-002dB,-1.42687325276895e-002°)
1.10917481526240e+000	(-4.36830847760915e-002dB,-1.43016253532389e-002°)
1.11173172728159e+000	(-4.36830848120746e-002dB,-1.43345940045823e-002°)
1.11429453359173e+000	(-4.36830848482418e-002dB,-1.43676386565163e-002°)
1.11686324778056e+000	(-4.36830848845864e-002dB,-1.44007594842402e-002°)
1.11943788346715e+000	(-4.36830849211181e-002dB,-1.44339566633571e-002°)
1.12201845430196e+000	(-4.36830849577447e-002dB,-1.44672303698758e-002°)
1.12460497396692e+000	(-4.36830849946185e-002dB,-1.45005807802095e-002°)
1.12719745617551e+000	(-4.36830850316154e-002dB,-1.45340080711791e-002°)
1.12979591467280e+000	(-4.36830850687819e-002dB,-1.45675124200128e-002°)
1.13240036323556e+000	(-4.36830851061422e-002dB,-1.46010940043471e-002°)
1.13501081567231e+000	(-4.36830851436750e-002dB,-1.46347530022286e-002°)
1.13762728582343e+000	(-4.36830851813930e-002dB,-1.46684895921134e-002°)
1.14024978756117e+000	(-4.36830852192514e-002dB,-1.47023039528698e-002°)
1.14287833478977e+000	(-4.36830852572902e-002dB,-1.47361962637786e-002°)
1.14551294144553e+000	(-4.36830852954918e-002dB,-1.47701667045328e-002°)
1.14815362149688e+000	(-4.36830853339114e-002dB,-1.48042154552406e-002°)
1.15080038894443e+000	(-4.36830853724842e-002dB,-1.48383426964249e-002°)
1.15345325782109e+000	(-4.36830854112266e-002dB,-1.48725486090254e-002°)
1.15611224219210e+000	(-4.36830854501579e-002dB,-1.49068333743983e-002°)
1.15877735615512e+000	(-4.36830854892948e-002dB,-1.49411971743175e-002°)
1.16144861384034e+000	(-4.36830855286022e-002dB,-1.49756401909767e-002°)
1.16412602941049e+000	(-4.36830855680414e-002dB,-1.50101626069898e-002°)
1.16680961706096e+000	(-4.36830856077162e-002dB,-1.50447646053907e-002°)
1.16949939101987e+000	(-4.36830856475411e-002dB,-1.50794463696359e-002°)
1.17219536554813e+000	(-4.36830856875561e-002dB,-1.51142080836045e-002°)
1.17489755493953e+000	(-4.36830857277493e-002dB,-1.51490499316002e-002°)
1.17760597352080e+000	(-4.36830857681665e-002dB,-1.51839720983502e-002°)
1.18032063565173e+000	(-4.36830858087629e-002dB,-1.52189747690092e-002°)
1.18304155572516e+000	(-4.36830858495125e-002dB,-1.52540581291573e-002°)
1.18576874816716e+000	(-4.36830858904617e-002dB,-1.52892223648030e-002°)
1.18850222743702e+000	(-4.36830859316164e-002dB,-1.53244676623839e-002°)
1.19124200802737e+000	(-4.36830859729484e-002dB,-1.53597942087669e-002°)
1.19398810446427e+000	(-4.36830860144927e-002dB,-1.53952021912497e-002°)
1.19674053130724e+000	(-4.36830860562144e-002dB,-1.54306917975619e-002°)
1.19949930314938e+000	(-4.36830860981008e-002dB,-1.54662632158661e-002°)
1.20226443461741e+000	(-4.36830861401986e-002dB,-1.55019166347584e-002°)
1.20503594037179e+000	(-4.36830861825124e-002dB,-1.55376522432694e-002°)
1.20781383510678e+000	(-4.36830862250249e-002dB,-1.55734702308660e-002°)
1.21059813355048e+000	(-4.36830862676857e-002dB,-1.56093707874515e-002°)
1.21338885046497e+000	(-4.36830863105511e-002dB,-1.56453541033671e-002°)
1.21618600064636e+000	(-4.36830863536713e-002dB,-1.56814203693926e-002°)
1.21898959892486e+000	(-4.36830863969679e-002dB,-1.57175697767481e-002°)
1.22179966016487e+000	(-4.36830864404515e-002dB,-1.57538025170937e-002°)
1.22461619926504e+000	(-4.36830864841009e-002dB,-1.57901187825323e-002°)
1.22743923115840e+000	(-4.36830865280081e-002dB,-1.58265187656087e-002°)
1.23026877081238e+000	(-4.36830865720859e-002dB,-1.58630026593123e-002°)
1.23310483322890e+000	(-4.36830866163613e-002dB,-1.58995706570769e-002°)
1.23594743344451e+000	(-4.36830866608714e-002dB,-1.59362229527823e-002°)
1.23879658653036e+000	(-4.36830867055491e-002dB,-1.59729597407555e-002°)
1.24165230759241e+000	(-4.36830867504778e-002dB,-1.60097812157711e-002°)
1.24451461177138e+000	(-4.36830867955868e-002dB,-1.60466875730532e-002°)
1.24738351424294e+000	(-4.36830868409051e-002dB,-1.60836790082755e-002°)
1.25025903021771e+000	(-4.36830868864580e-002dB,-1.61207557175627e-002°)
1.25314117494141e+000	(-4.36830869322144e-002dB,-1.61579178974922e-002°)
1.25602996369487e+000	(-4.36830869781268e-002dB,-1.61951657450935e-002°)
1.25892541179416e+000	(-4.36830870242942e-002dB,-1.62324994578521e-002°)
