time	V(n009)
0.000000000000000e+000	-9.949834e+000
9.999999999999999e-006	-9.949834e+000
1.000009328079220e-005	-9.949834e+000
1.000027984237659e-005	-9.949834e+000
1.000065296554538e-005	-9.949834e+000
1.000107785468939e-005	-9.949834e+000
1.000158452488989e-005	-9.949834e+000
1.000208815913099e-005	-9.949834e+000
1.000274043423107e-005	-9.949834e+000
1.000381457515443e-005	-9.949834e+000
1.000596285700116e-005	-9.949834e+000
1.001025942069461e-005	-9.949834e+000
1.001885254808152e-005	-9.949834e+000
1.003603880285534e-005	-9.949834e+000
1.005680000000000e-005	-9.949834e+000
1.005764357694828e-005	-9.949834e+000
1.005933073084483e-005	-9.949834e+000
1.006270503863793e-005	-9.949834e+000
1.006605607741182e-005	-9.949834e+000
1.007031843231190e-005	-9.949834e+000
1.007884314211206e-005	-9.949834e+000
1.009589256171239e-005	-9.949834e+000
1.011716008271381e-005	-9.949834e+000
1.014569771415343e-005	-9.949834e+000
1.019003672978341e-005	-9.949834e+000
1.023896903957748e-005	-9.949834e+000
1.029287866976498e-005	-9.949834e+000
1.034742702042312e-005	-9.949834e+000
1.039737750593109e-005	-9.949834e+000
1.045800477385407e-005	-9.949834e+000
1.053821703555057e-005	-9.949834e+000
1.064706070469273e-005	-9.949834e+000
1.076424820469273e-005	-9.949834e+000
1.088143570469273e-005	-9.949834e+000
1.099862320469273e-005	-9.949834e+000
1.111581070469273e-005	-9.949834e+000
1.123299820469273e-005	-9.949834e+000
1.135018570469273e-005	-9.949834e+000
1.146737320469273e-005	-9.949834e+000
1.158456070469274e-005	-9.949834e+000
1.170174820469274e-005	-9.949834e+000
1.181893570469274e-005	-9.949834e+000
1.193612320469274e-005	-9.949834e+000
1.205331070469274e-005	-9.949834e+000
1.217049820469274e-005	-9.949834e+000
1.228768570469274e-005	-9.949834e+000
1.240487320469274e-005	-9.949834e+000
1.252206070469274e-005	-9.949834e+000
1.263924820469274e-005	-9.949834e+000
1.275643570469274e-005	-9.949834e+000
1.287362320469274e-005	-9.949834e+000
1.299081070469274e-005	-9.949834e+000
1.310799820469274e-005	-9.949834e+000
1.322518570469274e-005	-9.949834e+000
1.334237320469274e-005	-9.949834e+000
1.345956070469274e-005	-9.949833e+000
1.357674820469274e-005	-9.949833e+000
1.369393570469274e-005	-9.949832e+000
1.381112320469274e-005	-9.949832e+000
1.392831070469274e-005	-9.949831e+000
1.404549820469274e-005	-9.949830e+000
1.416268570469274e-005	-9.949829e+000
1.427987320469274e-005	-9.949828e+000
1.439706070469274e-005	-9.949826e+000
1.451424820469274e-005	-9.949824e+000
1.463143570469274e-005	-9.949822e+000
1.474862320469274e-005	-9.949820e+000
1.486581070469274e-005	-9.949817e+000
1.498299820469274e-005	-9.949814e+000
1.510018570469274e-005	-9.949809e+000
1.533456070469274e-005	-9.949799e+000
1.545174820469274e-005	-9.949792e+000
1.556893570469274e-005	-9.949783e+000
1.568612320469274e-005	-9.949775e+000
1.580331070469274e-005	-9.949764e+000
1.592049820469274e-005	-9.949753e+000
1.603768570469274e-005	-9.949739e+000
1.615487320469274e-005	-9.949724e+000
1.627206070469273e-005	-9.949706e+000
1.638924820469273e-005	-9.949686e+000
1.650643570469273e-005	-9.949664e+000
1.662362320469273e-005	-9.949639e+000
1.674081070469273e-005	-9.949612e+000
1.685799820469273e-005	-9.949580e+000
1.697518570469273e-005	-9.949545e+000
1.709237320469272e-005	-9.949506e+000
1.720956070469272e-005	-9.949462e+000
1.732674820469272e-005	-9.949413e+000
1.744393570469272e-005	-9.949360e+000
1.756112320469272e-005	-9.949300e+000
1.779549820469272e-005	-9.949162e+000
1.802987320469271e-005	-9.948994e+000
1.826424820469271e-005	-9.948792e+000
1.849862320469271e-005	-9.948549e+000
1.873299820469270e-005	-9.948261e+000
1.896737320469270e-005	-9.947921e+000
1.920174820469270e-005	-9.947521e+000
1.943612320469270e-005	-9.947052e+000
1.967049820469269e-005	-9.946505e+000
2.002206070469269e-005	-9.945518e+000
2.037362320469269e-005	-9.944295e+000
2.072518570469268e-005	-9.942795e+000
2.107674820469268e-005	-9.940970e+000
2.142831070469267e-005	-9.938767e+000
2.166268570469267e-005	-9.937060e+000
2.177987320469267e-005	-9.936128e+000
2.189706070469267e-005	-9.935139e+000
2.213143570469266e-005	-9.932984e+000
2.248299820469266e-005	-9.929267e+000
2.283456070469266e-005	-9.924897e+000
2.318612320469265e-005	-9.919790e+000
2.353768570469265e-005	-9.913854e+000
2.388924820469264e-005	-9.906989e+000
2.424081070469264e-005	-9.899092e+000
2.459237320469264e-005	-9.890045e+000
2.470956070469263e-005	-9.886755e+000
2.482674820469263e-005	-9.883318e+000
2.506112320469263e-005	-9.875991e+000
2.551313213326405e-005	-9.860862e+000
2.596514106183548e-005	-9.842232e+000
2.641714999040690e-005	-9.820102e+000
2.686915891897832e-005	-9.794472e+000
2.732116784754975e-005	-9.765342e+000
2.777317677612117e-005	-9.732711e+000
2.822518570469259e-005	-9.696580e+000
2.840933749040688e-005	-9.680221e+000
2.859348927612116e-005	-9.662973e+000
2.877764106183544e-005	-9.644837e+000
2.896179284754973e-005	-9.625811e+000
2.914594463326401e-005	-9.605897e+000
2.933009641897829e-005	-9.585095e+000
2.951424820469258e-005	-9.563403e+000
2.963143570469258e-005	-9.549044e+000
2.998299820469257e-005	-9.503496e+000
3.021737320469257e-005	-9.471001e+000
3.033456070469257e-005	-9.454092e+000
3.045174820469257e-005	-9.436732e+000
3.056893570469256e-005	-9.418915e+000
3.068612320469257e-005	-9.400632e+000
3.092049820469257e-005	-9.362640e+000
3.103768570469257e-005	-9.342918e+000
3.115487320469257e-005	-9.322701e+000
3.150643570469258e-005	-9.259009e+000
3.189148034754973e-005	-9.184434e+000
3.227652499040688e-005	-9.103349e+000
3.266156963326403e-005	-9.015753e+000
3.304661427612118e-005	-8.921646e+000
3.343165891897833e-005	-8.821028e+000
3.381670356183548e-005	-8.713900e+000
3.420174820469263e-005	-8.600262e+000
3.431893570469263e-005	-8.564062e+000
3.467049820469263e-005	-8.451354e+000
3.497183749040693e-005	-8.349939e+000
3.527317677612121e-005	-8.243642e+000
3.557451606183551e-005	-8.132463e+000
3.587585534754980e-005	-8.016404e+000
3.617719463326409e-005	-7.895462e+000
3.647853391897838e-005	-7.769639e+000
3.677987320469267e-005	-7.638935e+000
3.713143570469268e-005	-7.479815e+000
3.756670356183554e-005	-7.273127e+000
3.800197141897840e-005	-7.055577e+000
3.843723927612127e-005	-6.827166e+000
3.887250713326414e-005	-6.587894e+000
3.930777499040700e-005	-6.337761e+000
3.974304284754987e-005	-6.076768e+000
4.017831070469273e-005	-5.804913e+000
4.041268570469273e-005	-5.654156e+000
4.076424820469274e-005	-5.422294e+000
4.099862320469274e-005	-5.263944e+000
4.135018570469275e-005	-5.020837e+000
4.146737320469275e-005	-4.938330e+000
4.170174820469275e-005	-4.771142e+000
4.205331070469276e-005	-4.515001e+000
4.230442677612133e-005	-4.328001e+000
4.255554284754991e-005	-4.138032e+000
4.280665891897849e-005	-3.945095e+000
4.305777499040707e-005	-3.749190e+000
4.330889106183564e-005	-3.550317e+000
4.356000713326422e-005	-3.348477e+000
4.381112320469279e-005	-3.143668e+000
4.416268570469280e-005	-2.852712e+000
4.438031963326423e-005	-2.669899e+000
4.459795356183566e-005	-2.485395e+000
4.481558749040710e-005	-2.299197e+000
4.503322141897852e-005	-2.111307e+000
4.525085534754996e-005	-1.921725e+000
4.546848927612139e-005	-1.730450e+000
4.568612320469282e-005	-1.537482e+000
4.580331070469282e-005	-1.433036e+000
4.592049820469283e-005	-1.328213e+000
4.603768570469283e-005	-1.223012e+000
4.615487320469283e-005	-1.117434e+000
4.627206070469283e-005	-1.011479e+000
4.638924820469283e-005	-9.051473e-001
4.650643570469284e-005	-7.984380e-001
4.685799820469284e-005	-4.764463e-001
4.720956070469285e-005	-1.517910e-001
4.732674820469285e-005	-4.304131e-002
4.756112320469285e-005	1.751755e-001
4.779549820469286e-005	3.945387e-001
4.802987320469286e-005	6.143822e-001
4.826424820469287e-005	8.347060e-001
4.849862320469287e-005	1.055510e+000
4.873299820469287e-005	1.276794e+000
4.896737320469288e-005	1.498559e+000
4.920174820469288e-005	1.720804e+000
4.931893570469288e-005	1.831824e+000
4.951982856183574e-005	2.022334e+000
4.972072141897860e-005	2.212608e+000
4.992161427612146e-005	2.402645e+000
5.012250713326433e-005	2.592445e+000
5.032339999040719e-005	2.782009e+000
5.052429284755005e-005	2.971336e+000
5.072518570469291e-005	3.160426e+000
5.117719463326435e-005	3.585564e+000
5.162920356183578e-005	4.005356e+000
5.208121249040722e-005	4.419801e+000
5.253322141897865e-005	4.828900e+000
5.298523034755009e-005	5.232652e+000
5.343723927612153e-005	5.631059e+000
5.388924820469296e-005	6.024118e+000
5.462585534755012e-005	6.649953e+000
5.536246249040728e-005	7.245065e+000
5.609906963326443e-005	7.809456e+000
5.683567677612159e-005	8.343126e+000
5.757228391897874e-005	8.846074e+000
5.830889106183589e-005	9.318301e+000
5.904549820469305e-005	9.759807e+000
5.966491784755019e-005	1.009820e+001
6.028433749040732e-005	1.040889e+001
6.090375713326445e-005	1.069188e+001
6.152317677612159e-005	1.094716e+001
6.214259641897871e-005	1.117474e+001
6.276201606183586e-005	1.137461e+001
6.338143570469298e-005	1.154677e+001
6.356558749040727e-005	1.159259e+001
6.374973927612154e-005	1.163604e+001
6.393389106183582e-005	1.167712e+001
6.411804284755009e-005	1.171584e+001
6.430219463326438e-005	1.175219e+001
6.448634641897865e-005	1.178617e+001
6.467049820469293e-005	1.181779e+001
6.478768570469293e-005	1.183674e+001
6.512250713326434e-005	1.188538e+001
6.545732856183576e-005	1.192697e+001
6.579214999040718e-005	1.196151e+001
6.612697141897858e-005	1.198899e+001
6.646179284755000e-005	1.200941e+001
6.679661427612141e-005	1.202278e+001
6.713143570469283e-005	1.202910e+001
6.724862320469283e-005	1.202993e+001
6.736581070469282e-005	1.202998e+001
6.760018570469281e-005	1.202777e+001
6.783456070469280e-005	1.202256e+001
6.818612320469279e-005	1.200925e+001
6.853768570469277e-005	1.198959e+001
6.909014106183561e-005	1.194364e+001
6.964259641897844e-005	1.188650e+001
7.019505177612127e-005	1.181818e+001
7.074750713326411e-005	1.173867e+001
7.129996249040695e-005	1.164798e+001
7.185241784754978e-005	1.154610e+001
7.240487320469262e-005	1.143304e+001
7.278991784754974e-005	1.135100e+001
7.317496249040688e-005	1.126689e+001
7.356000713326400e-005	1.118070e+001
7.394505177612112e-005	1.109244e+001
7.433009641897825e-005	1.100211e+001
7.471514106183538e-005	1.090970e+001
7.510018570469251e-005	1.081522e+001
7.533456070469250e-005	1.075791e+001
7.556893570469249e-005	1.070041e+001
7.568612320469248e-005	1.067161e+001
7.580331070469248e-005	1.064279e+001
7.592049820469247e-005	1.061397e+001
7.603768570469247e-005	1.058514e+001
7.615487320469246e-005	1.055633e+001
7.627206070469246e-005	1.052753e+001
7.650643570469245e-005	1.047005e+001
7.674081070469244e-005	1.041276e+001
7.697518570469243e-005	1.035574e+001
7.732674820469241e-005	1.027087e+001
7.767831070469240e-005	1.018700e+001
7.802987320469239e-005	1.010436e+001
7.838143570469237e-005	1.002317e+001
7.878322141897806e-005	9.931794e+000
7.918500713326377e-005	9.843505e+000
7.958679284754946e-005	9.758300e+000
7.998857856183517e-005	9.676180e+000
8.039036427612086e-005	9.597144e+000
8.079214999040656e-005	9.521194e+000
8.119393570469226e-005	9.448328e+000
8.142831070469225e-005	9.407913e+000
8.166268570469224e-005	9.368832e+000
8.177987320469223e-005	9.349800e+000
8.189706070469223e-005	9.331115e+000
8.201424820469222e-005	9.312778e+000
8.213143570469222e-005	9.294791e+000
8.224862320469221e-005	9.277161e+000
8.248299820469220e-005	9.242973e+000
8.271737320469219e-005	9.210241e+000
8.295174820469219e-005	9.178983e+000
8.330331070469217e-005	9.134897e+000
8.365487320469216e-005	9.094221e+000
8.400643570469214e-005	9.056993e+000
8.439148034754927e-005	9.020248e+000
8.477652499040640e-005	8.987677e+000
8.516156963326353e-005	8.959279e+000
8.554661427612065e-005	8.935054e+000
8.593165891897779e-005	8.915003e+000
8.631670356183491e-005	8.899126e+000
8.670174820469203e-005	8.887423e+000
8.698634641897773e-005	8.881412e+000
8.727094463326344e-005	8.877482e+000
8.755554284754914e-005	8.875632e+000
8.784014106183485e-005	8.875861e+000
8.812473927612054e-005	8.878170e+000
8.840933749040625e-005	8.882560e+000
8.869393570469195e-005	8.889029e+000
8.921290891897764e-005	8.906515e+000
8.973188213326334e-005	8.929137e+000
9.025085534754903e-005	8.956893e+000
9.076982856183473e-005	8.989785e+000
9.128880177612042e-005	9.027811e+000
9.180777499040612e-005	9.070972e+000
9.232674820469180e-005	9.119268e+000
9.272853391897750e-005	9.158955e+000
9.313031963326320e-005	9.200106e+000
9.353210534754889e-005	9.242721e+000
9.393389106183460e-005	9.286799e+000
9.433567677612029e-005	9.332342e+000
9.473746249040600e-005	9.379349e+000
9.513924820469169e-005	9.427819e+000
9.534014106183454e-005	9.452138e+000
9.554103391897738e-005	9.476549e+000
9.574192677612023e-005	9.501051e+000
9.594281963326309e-005	9.525645e+000
9.614371249040594e-005	9.550330e+000
9.634460534754878e-005	9.575107e+000
9.654549820469163e-005	9.599976e+000
9.666268570469163e-005	9.614450e+000
9.689706070469162e-005	9.643382e+000
9.724862320469160e-005	9.686673e+000
9.761692677612016e-005	9.732085e+000
9.798523034754871e-005	9.776768e+000
9.835353391897727e-005	9.820723e+000
9.872183749040583e-005	9.863949e+000
9.909014106183439e-005	9.906448e+000
9.945844463326294e-005	9.948217e+000
9.982674820469150e-005	9.989259e+000
9.994393570469149e-005	1.000199e+001
1.004963910618343e-004	1.006095e+001
1.010488464189772e-004	1.011630e+001
1.016013017761200e-004	1.016804e+001
1.021537571332628e-004	1.021617e+001
1.027062124904057e-004	1.026070e+001
1.032586678475485e-004	1.030162e+001
1.038111232046913e-004	1.033893e+001
1.042463910618342e-004	1.036495e+001
1.046816589189770e-004	1.038827e+001
1.051169267761199e-004	1.040887e+001
1.055521946332627e-004	1.042677e+001
1.059874624904055e-004	1.044195e+001
1.064227303475484e-004	1.045441e+001
1.068579982046912e-004	1.046417e+001
1.071091142761198e-004	1.046855e+001
1.073602303475483e-004	1.047208e+001
1.076113464189769e-004	1.047476e+001
1.078624624904055e-004	1.047658e+001
1.081135785618340e-004	1.047754e+001
1.083646946332626e-004	1.047765e+001
1.086158107046911e-004	1.047690e+001
1.090343374904054e-004	1.047369e+001
1.094528642761197e-004	1.046852e+001
1.098713910618340e-004	1.046139e+001
1.102899178475482e-004	1.045231e+001
1.107084446332625e-004	1.044127e+001
1.111269714189768e-004	1.042827e+001
1.115454982046910e-004	1.041331e+001
1.119975071332624e-004	1.039524e+001
1.124495160618338e-004	1.037582e+001
1.129015249904053e-004	1.035504e+001
1.133535339189767e-004	1.033290e+001
1.138055428475481e-004	1.030941e+001
1.142575517761195e-004	1.028457e+001
1.147095607046909e-004	1.025837e+001
1.150108999904052e-004	1.024058e+001
1.153122392761194e-004	1.022259e+001
1.156135785618337e-004	1.020440e+001
1.159149178475480e-004	1.018601e+001
1.162162571332623e-004	1.016741e+001
1.165175964189765e-004	1.014861e+001
1.168189357046908e-004	1.012962e+001
1.170533107046908e-004	1.011489e+001
1.171704982046908e-004	1.010753e+001
1.174048732046908e-004	1.009280e+001
1.177564357046908e-004	1.007076e+001
1.180577749904051e-004	1.005186e+001
1.183591142761193e-004	1.003319e+001
1.186604535618336e-004	1.001473e+001
1.189617928475479e-004	9.996493e+000
1.192631321332621e-004	9.978476e+000
1.195644714189764e-004	9.960678e+000
1.198658107046907e-004	9.943099e+000
1.199829982046907e-004	9.936378e+000
1.200000000000000e-004	9.935406e+000
